id;name;salary;keyskills;area;employer;employementtime
80326134;Аналитик данных / Data Analyst / BI-аналитик;150000.0;('ci', 'c', 'боты');Москва;Фрифлекс;full
80207546;Программист-математик (python);250000.0;('it');Москва;Интегрированные системы управления;full
79210452;Программист Python;250000.0;('python', 'web', 'разработчик', 'боты');Москва;Центр Методического Обеспечения Оптимизации Процессов Государственного Управления в Московской области;full
79141449;Программист Python;250000.0;('r', 'frontend', 'c', 'front');Москва;Газпромбанк;full
79895487;Middle+ Backend разработчик Python/Django;205000.0;('aiohttp', 'go', 'http', 'r', 'iohttp', 'starlette', 'ai', 'ar', 'боты');Москва;ЧУ ДО Московская школа программистов;full
80200665;OpenAI API разработчик;3000.0;('js', 'боты');Москва;4CV Recruitment Services;full
79730104;Django Разработчик (python);150000.0;('go', 'r', 'c', 'full stack', 'боты');Москва;Деловая Автоматизация;full
80151804;Инженер данных / Data Engineer;250000.0;('r', 'oop', 'c', 'ad', 'ar', 'боты');Москва;Апптимизм;full
80241657;Middle Python разработчик;250000.0;('http', 'iohttp', 'c');Москва;Исходный код;full
79890835;Python backend developer (Ed-Tech);270000.0;();Москва;evrone.ru;full
80196627;Backend разработчик на Python (FastAPI, SQLAlchemy, Pytest);200000.0;('backend', 'r', 'c', 'разработчик', 'боты');Москва;LISA AI CORP;full
79735056;Стажер Data Scientist (Sber AI Lab);200000.0;('ci', 'it', 'c');Москва;СБЕР;part
79919529;Data Engineer;250000.0;('боты');Москва;Автомакон;full
77987262;Middle Python Backend Developer;200000.0;('c', 'технолог', 'боты');Москва;24Н Софт;full
77262071;Python developer (Банк);265000.0;('python', 'работа в команде', 'go', 'r', 'технолог');Москва;АЙТИ.СПЕЙС;full
80053266;Python Web Developer;265000.0;('go', 'боты');Москва;Lesta Games;full
72687495;Python-разработчик систем сбора;125000.0;('asyncio', 'ci', 'r', 'c', 'async', 'thread', 'threading', 'ad', 'ии');Москва;Селфсек;full
80024403;Senior Python разработчик;275000.0;('git', 'r', 'it', 'рефакторинг', 'ии', 'боты');Москва;Carbon Soft;full
78664757;Программист Python (Data Engineer);180000.0;();Москва;Enjoypro;full
79789224;Инженер-тестировщик;60000.0;();Москва;Цифровые решения, НПП;full
79667895;Разработчик Python;60000.0;('go', 'r', 'c', 'боты');Москва;ДА-ТИМ;full
79526381;Data Engineer (Middle-Middle+);275000.0;('бэкенд', 'боты');Москва;Predicto;full
78642019;Специалист по работе с данными / инженер данных;275000.0;('pandas', 'numpy', 'c');Москва;Uniteller;full
72687478;Python-разработчик в R&D отдел;125000.0;('c', 'ии');Москва;Селфсек;full
77296899;Middle Python developer (SberLB);300000.0;('go', 'r', 'c', 'code review');Москва;SberTech;full
80428135;Middle/Senior DevOps инженер со знанием Python;200000.0;('git', 'r', 'it', 'c', 'ux');Москва;Актив Матрикс;full
80044140;Python/JavaScript разработчик;230000.0;('go', 'r', 'c', 'боты');Москва;Издательство РИПОЛ классик;full
