skills,amount,salarysum,value,salary
jenkins,66,1715000.0,25984.848484848484,6078.32713095871
grafana,85,1700000.0,20000.0,4678.362573099415
stl,25,1666666.666666667,66666.66666666669,15594.541910331389
openstack,43,1612500.0,37500.0,8771.929824561405
extjs,30,1455721.795390214,48524.05984634047,11350.65727399777
react,30,1455721.795390214,48524.05984634047,11350.65727399777
rpm,27,1451250.0,53750.0,12573.099415204679
ffmpeg,24,1440000.0,60000.0,14035.087719298246
tornado,89,1439705.8823529389,16176.470588235268,3783.969728242168
cad,29,1305000.0,45000.0,10526.315789473683
nat,17,1303333.3333333333,76666.66666666666,17933.72319688109
hadoop,23,1288000.0,56000.0,13099.415204678362
mongodb,62,1240000.0,20000.0,4678.362573099415
unix,68,1236363.6363636372,18181.818181818195,4253.056884635835
teamcity,73,1219125.0,16700.342465753423,3906.512857486181
oracle,80,1200000.0,15000.0,3508.7719298245615
cloud,29,1160000.0,40000.0,9356.72514619883
apache,75,1050000.0,14000.0,3274.8538011695905
javascript,35,1046428.5714285718,29897.95918367348,6993.674662847598
powerbi,81,1012500.0,12500.0,2923.9766081871344
terraform,38,988000.0,26000.0,6081.87134502924
allure,49,980000.0,20000.0,4678.362573099415
mssql,27,967500.0000000002,35833.33333333334,8382.066276803122
rust,29,966666.666666667,33333.33333333334,7797.270955165694
cmd,49,948000.0,19346.938775510207,4525.599713569638
data engineering,99,935000.000000002,9444.444444444463,2209.226770630284
gunicorn,55,916666.666666666,16666.666666666653,3898.635477582844
portainer,74,863333.3333333326,11666.666666666655,2729.0448343079897
gamedev,16,862649.9528238308,53915.62205148942,12611.84141555308
fullstack,22,825000.0,37500.0,8771.929824561405
sdk,22,770000.0,35000.0,8187.1345029239765
ios,58,731191.4127118335,12606.748495031612,2948.9470163816636
puppet,27,675000.0,25000.0,5847.953216374269
helm,35,674999.9999999999,19285.714285714283,4511.278195488721
grpc,28,672000.0,24000.0,5614.035087719298
multiprocessing/multithreading,35,590625.0,16875.0,3947.3684210526317
bs4,57,570000.0,10000.0,2339.1812865497077
.net core,31,568333.3333333333,18333.33333333333,4288.499025341131
nodejs,32,554090.909090909,17315.340909090904,4050.3721424774044
systemd,44,550000.0,12500.0,2923.9766081871344
pyqt,33,412500.0,12500.0,2923.9766081871344
vuex/vue 3,15,403125.0,26875.0,6286.549707602339
san,15,403125.0,26875.0,6286.549707602339
research,27,385714.2857142856,14285.71428571428,3341.6875522138675
less,27,385714.2857142856,14285.71428571428,3341.6875522138675
firewall,40,381818.1818181818,9545.454545454546,2232.854864433812
vpn,40,381818.1818181818,9545.454545454546,2232.854864433812
sso,18,349373.23089365155,19409.6239385362,4540.262909599111
npm,23,340000.0,14782.608695652174,3457.9201627256543
scratch,14,301000.0,21500.0,5029.2397660818715
e-commerce,10,300000.0,30000.0,7017.543859649123
yaml,12,210000.0,17500.0,4093.5672514619882
flake8,56,140000.0,2500.0,584.7953216374269
poetry,56,140000.0,2500.0,584.7953216374269
mypy,56,140000.0,2500.0,584.7953216374269
artifactory,36,109125.0,3031.25,709.0643274853801
